Strategy,Total Loan Amount,Expected Loss,Total Revenue,Net Profit,Profit Margin %,Applicants Approved,Approval Rate %
Current (Approve All),24728209,9464190.012418384,10700600.462418383,1236410.4500000007,11.554589430213774,400,100.0
Conservative (Reject High-Risk & Subprime),6922606,832289.8511540892,1178420.1511540895,346130.30000000005,29.372401656660085,92,23.0
Collateral (Collateral for High-Risk & Subprime),24728209,5521527.383757552,10700600.462418383,5179073.078660833,48.39983603583999,400,100.0
Optimal (Reject High-Risk Only),9513163,1578864.75509672,2054522.9050967202,475658.15,23.151756975793248,137,34.25
